Model,Dataset,Split (Train/Val/Test),Eval Set,Classes for mAP,Bleached AP50/%,Healthy AP50/%,Dead AP50/%,Precision/%,Recall/%,mAP50/%,mAP50-95/%,Params/M,GFLOPs,FPS,Best Val Epoch,Notes
"YOLOv11n-CBGS-Light (Ours, seed=2026)",Coral Bleaching_General v1,1939 / 380 / 224,Test,2,34.5,30.7,N/A,49.4,36.9,32.6,19.6,3,12.1,79.8,17,Dead Coral is absent in this external dataset; mAP50 is averaged over Bleached Coral and Healthy Coral only.
YOLOv11n baseline NoAug (seed=2026),Coral Bleaching_General v1,1939 / 380 / 224,Test,2,32,16.6,N/A,35.7,28,24.3,12.4,2.59,6.4,199.6,7,Pure YOLOv11n baseline trained without online augmentation; Dead Coral is absent in this external dataset.
YOLOv8n baseline NoAug (seed=2026),Coral Bleaching_General v1,1939 / 380 / 224,Test,2,25.8,19.2,N/A,47.4,24.4,22.5,11.6,3.01,8.1,227.8,8,Pure YOLOv8n baseline trained without online augmentation; Dead Coral is absent in this external dataset.
YOLOv9t baseline NoAug (seed=2026),Coral Bleaching_General v1,1939 / 380 / 224,Test,2,32.4,23.4,N/A,34.4,31.7,27.9,14.9,2.01,7.9,80.4,10,Pure YOLOv9t baseline trained without online augmentation; Dead Coral is absent in this external dataset.
YOLOv10n baseline NoAug (seed=2026),Coral Bleaching_General v1,1939 / 380 / 224,Test,2,26.8,19.9,N/A,42,26.3,23.4,11.8,2.71,8.4,177.1,22,Pure YOLOv10n baseline trained without online augmentation; Dead Coral is absent in this external dataset.
YOLO-MS-XS baseline NoAug (seed=2026),Coral Bleaching_General v1,1939 / 380 / 224,Test,2,30.8,18.8,N/A,33.4,31.7,24.8,14,5.08,8.6,213,240,Pure YOLO-MS-XS baseline trained without online augmentation; Dead Coral is absent in this external dataset.
ASF-YOLO-custom NoAug (seed=2026),Coral Bleaching_General v1,1939 / 380 / 224,Test,2,26.6,15.7,N/A,34.4,23.7,21.1,11.6,3.2,8.1,95.7,11,ASF-YOLO-custom trained without online augmentation; Dead Coral is absent in this external dataset.
RT-DETR-R18 baseline NoAug (seed=2026),Coral Bleaching_General v1,1939 / 380 / 224,Test,2,19.4,7.9,N/A,19.4,20.8,13.6,7.2,25.45,78,75.1,111,Pure RT-DETR-R18 baseline trained without online augmentation; Dead Coral is absent in this external dataset.
D-FINE-N baseline NoAug (seed=2026),Coral Bleaching_General v1,1939 / 380 / 224,Test,2,28.5,22.4,N/A,63,22.9,25.5,16.9,3.72,7.1,60.7,218,Pure D-FINE-N baseline trained without online augmentation; Dead Coral is absent in this external dataset; best validation checkpoint was evaluated on test set.
DEIM-D-FINE-N baseline NoAug (seed=2026),Coral Bleaching_General v1,1939 / 380 / 224,Test,2,36.9,28.6,N/A,49.8,33.9,32.8,19.4,3.72,7.1,60.6,27,Pure DEIM-D-FINE-N baseline trained without online augmentation; Dead Coral is absent in this external dataset; best validation checkpoint was evaluated on test set.
LW-DETR-T baseline NoAug,Coral Bleaching_General v1,1939/380/224,test,Bleached + Healthy,29.6,21.9,N/A,40.0,31.0,25.7,14.1,11.74,11.2,97.1,190,NoAug; seed=2026; best test weight selected from best_regular and best_ema
